Sl No.,Start-Up Name,No. of Pitchers,Mean Founder Age,Sex,IDEA,Sector,Past valuation ,Revenue YoY,Ask_value,Ask_% of Equity,Deal_value,Deal_% of Equity ,Deal Loan,Deal,Valuation after Deal,Aman Gupta ,Ashneer Grover,Vineeta Singh,Peyush Bansal,Namita Thapar,Anupam Mittal,Ghazal Alagh,,
109,Tweek Labs,4,28,male,Sportswear,Tech,NA,0,45,2%,60,10%,0,Y,600,0,20,0,20,0,20,0,,
110,Proxgy,2,30,male,VR,Tech,NA,0,35,1%,100,10%,0,Y,1000,0,50,0,50,0,0,0,,
111,Nomad Food Project,2,30,male,Bacon Jams,Packaged Food ,NA,50,40,10%,40,20%,0,Y,200,0,10,10,0,10,0,10,,
112,Twee in One,1,35,female,Reversible and convertible clothing,Lifestyle/Wearable ,NA,24,30,7.50%,0,0,0,N,NA,0,0,0,0,0,0,0,,
113,Green Protein,3,45,mix,Plant-Based Protein,Packaged Food ,NA,144,60,2%,0,0,0,N,NA,0,0,0,0,0,0,0,,
114,On2Cook,1,40,male,Fastest Cooking Device,Tech,NA,0,100,1%,0,0,0,N,NA,0,0,0,0,0,0,0,,
115,Jain Shikanji,3,35,male,Lemonade,Packaged Food ,NA,0,40,8%,40,30%,0,Y,133.3333333,10,10,10,0,0,10,0,,
116,Woloo,3,45,mix,Washroom Finder,Health Tech,NA,102,50,4%,0,0,0,N,NA,0,0,0,0,0,0,0,,
117,Elcare India,5,46,mix,Carenting for Elders,Health Tech,NA,60,100,2.50%,0,0,0,N,NA,0,0,0,0,0,0,0,,
118,Sneakare,1,22,male,Shoe care solution,Lifestyle/Wearable ,NA,72,20,5%,21,12,0,Y,1.75,7,0,7,0,7,0,0,,
119,French Crown,2,45,male,Mens Clothing,Lifestyle/Wearable ,NA,7200,150,0.33%,0,0,0,N,NA,0,0,0,0,0,0,0,,
120,Store my Goods,4,50,mix,Storage solution,Storage,NA,700,100,1.75%,50,4%,50,Y,1250,0,0,0,50,50,0,0,,
121,Devnagiri,2,35,male,Language Translation,Tech,2400,500,100,1%,0,0,0,N,NA,0,0,0,0,0,0,0,,















































